"","SurveyNum","Time","Spp","Size","ID","lat","long"
"2486",79,"10:12","APCL","8","460",10.95525265905,124.64937550725
"2495",79,"10:50","APCL","11","455",10.95565436175,124.648897194
"2497",79,"11:03","APCL","11","458",10.955653209225,124.6488187185
"2605",84,"10:44","PRBI","11","465",10.764955377675,124.01095354
"2607",84,"10:54","APCL","5","467",10.7650573435,124.01042497725
"2616",84,"11:21","APCL","6","468",10.763162928625,124.00932426575
"2618",84,"11:30","APCL","6","471",10.76273731655,124.00935205175
"2622",84,"11:48","APCL","4","473",10.761920080975,124.00885739375
"2623",84,"11:53","APCL","8","475",10.76175525085,124.00868858225
"2624",84,"11:55","APCL","5","474",10.761708689375,124.00865606025
"2630",85,"13:23","APCL","5","476",10.743030498275,124.0104489495
"2631",85,"14:11","APCL","6","477",10.7424121443,124.01087592325
"2632",85,"14:19","APCL","4","478",10.7421249384,124.0111492575
"2635",85,"14:27","APCL","9","479",10.74196373345,124.01151726475
"2636",85,"14:43","APCL","7","481",10.74081470025,124.0115651465
"2638",85,"14:54","APCL","6","482",10.740148674225,124.01183980075
"2640",86,"16:16","APCL","4","484",10.78076683215,124.02966802475
"2641",86,"16:32","APCL","7","486",10.780701159975,124.0296458335
"2693",88,"10:13","APCL","10","488",10.925260239725,124.03387693425
"2694",88,"10:19","APCL","9","490",10.9251907328,124.0338393
"2695",88,"10:24","APCL","10","492",10.925013748925,124.033824212
"2697",88,"10:40","APCL","11","495",10.924534786,124.0342071605
"2698",88,"10:46","APCL","11","497",10.924483425925,124.03412529025
"2699",88,"10:58","APCL","10","500",10.924368111875,124.034184131
"2700",88,"11:26","APCL","8","503",10.922688336575,124.03510731425
"2703",89,"13:00","APCL","7","506",10.89521872345,124.051371056
"2705",89,"13:15","APCL","6","507",10.8949306584,124.0514552315
"2706",89,"13:19","APCL","9","508",10.894877684775,124.0514487985
"2708",89,"13:34","APCL","5","509",10.894475143875,124.0516529815
"3073",93,"16:22","PRBI","6","510",10.9440458659,124.03286500825
"3075",94,"11:01","APCL","8","511",11.347444402075,124.10501389525
"3076",94,"11:02","APCL","12","512",11.347461731625,124.10501959525
"3079",94,"11:16","APCL","12","515",11.347539452825,124.105025609
"3083",94,"11:22","APCL","5","516",11.347696865,124.10508187275
"3084",94,"11:25","APCL","10","517",11.34782238395,124.1051819735
"3089",94,"11:30","APCL","10","518",11.347766874825,124.105277087
"3090",94,"11:32","APCL","5","520",11.347794136975,124.105300577
"3093",94,"11:36","APCL","8","522",11.3478750852,124.105235471
"3096",94,"11:36","APCL","7","521",11.3478750852,124.105235471
"3098",94,"11:42","APCL","5","523",11.3478978211,124.10521937775
"3101",94,"11:47","APCL","12","525",11.348041025925,124.10526792975
"3103",94,"11:52","APCL","12","526",11.348021433225,124.10533184175
"3104",94,"11:55","APCL","11","528",11.3480073726,124.10533634725
"3105",94,"11:56","APCL","12","529",11.348026001375,124.1053437445
"3106",94,"11:58","APCL","12","530",11.348040900175,124.10538127425
"3245",97,"09:19","APCL","4","537",11.192314778475,124.0473547625
"3250",97,"10:36","APCL","8","544",11.19566005885,124.049374089
"3252",97,"09:08","APCL","9","532",11.1920945649,124.047336909
